; Gadget version 2.3.7 running on mfri-gadget Wed Jul 27 17:21:40 2022
; Predation output file for the following predators igfs
; Consuming the following preys lingmat
; Printing the following information at the end of each timestep
; year-step-area-pred length-prey length-biomass consumed
1986    4          1       len1     len144 4.33668e-06
1986    4          1       len1     len148 7.39767e-06
1986    4          1       len1     len152 1.07381e-05
1986    4          1       len1     len156 1.32644e-05
1987    1          1       len1      len20          0
1987    1          1       len1      len24          0
1987    1          1       len1      len28          0
1987    1          1       len1      len32          0
1987    1          1       len1      len36          0
1987    1          1       len1      len40          0
1987    1          1       len1      len44          0
1987    1          1       len1      len48          0
1987    1          1       len1      len52          0
1987    1          1       len1      len56          0
1987    1          1       len1      len60          0
1987    1          1       len1      len64          0
1987    1          1       len1      len68          0
1987    1          1       len1      len72          0
1987    1          1       len1      len76          0
1987    1          1       len1      len80          0
1987    1          1       len1      len84          0
1987    1          1       len1      len88          0
1987    1          1       len1      len92          0
1987    1          1       len1      len96          0
1987    1          1       len1     len100          0
1987    1          1       len1     len104          0
1987    1          1       len1     len108          0
1987    1          1       len1     len112          0
1987    1          1       len1     len116          0
1987    1          1       len1     len120 2.95218e-10
1987    1          1       len1     len124 1.32907e-09
1987    1          1       len1     len128 5.08852e-09
1987    1          1       len1     len132 1.65701e-08
1987    1          1       len1     len136 4.58982e-08
1987    1          1       len1     len140 1.08156e-07
1987    1          1       len1     len144 2.16834e-07
1987    1          1       len1     len148 3.69884e-07
1987    1          1       len1     len152 5.36906e-07
1987    1          1       len1     len156 6.63221e-07
1987    2          1       len1      len20          0
1987    2          1       len1      len24          0
1987    2          1       len1      len28          0
1987    2          1       len1      len32          0
1987    2          1       len1      len36          0
1987    2          1       len1      len40          0
1987    2          1       len1      len44          0
1987    2          1       len1      len48          0
1987    2          1       len1      len52          0
1987    2          1       len1      len56          0
1987    2          1       len1      len60          0
1987    2          1       len1      len64          0
1987    2          1       len1      len68          0
1987    2          1       len1      len72          0
1987    2          1       len1      len76          0
1987    2          1       len1      len80          0
1987    2          1       len1      len84          0
1987    2          1       len1      len88          0
1987    2          1       len1      len92          0
1987    2          1       len1      len96          0
1987    2          1       len1     len100          0
1987    2          1       len1     len104          0
1987    2          1       len1     len108          0
1987    2          1       len1     len112          0
1987    2          1       len1     len116          0
1987    2          1       len1     len120          0
1987    2          1       len1     len124          0
1987    2          1       len1     len128 2.54426e-10
1987    2          1       len1     len132 8.28503e-10
1987    2          1       len1     len136 2.29491e-09
1987    2          1       len1     len140 5.40779e-09
1987    2          1       len1     len144 1.08417e-08
1987    2          1       len1     len148 1.84942e-08
1987    2          1       len1     len152 2.68453e-08
1987    2          1       len1     len156 3.3161e-08
